,Electricity (kWh),Heating (kWh)
994,1358.881,24.897
995,1706.238,151.715
996,749.505,64.921
997,1169.02,65.695
998,964.586,20.022
999,1482.558,92.928
1000,1688.199,63.74
1001,1565.641,4.682
1002,1436.84,50.154
1003,1419.856,24.242
1004,1299.676,59.94
1005,1014.3,27.295
1006,918.727,35.316
1007,1365.946,12.23
1008,1038.753,35.059
1009,605.123,32.89
1010,1014.728,9.965
1011,941.309,19.904
1012,436.952,9.721
1013,1321.414,7.844
1014,739.93,13.174
1015,563.125,18.34
1016,1252.833,15.683
1017,1040.293,278.072
1018,600.687,80.48
1019,1465.185,23.538
1020,1217.363,35.268
1021,2049.928,84.707
1022,1530.369,17.281
1023,1308.482,60.037
1024,1393.362,2.194
1025,1173.597,32.062
1026,1345.225,51.76
1027,1278.377,29.245
1028,1227.666,94.592
1029,1511.56,45.565
1030,1021.412,53.801
1031,785.053,7.468
1032,646.953,18.086
1033,847.242,50.391
1034,874.011,64.315
1035,852.733,91.299
1036,381.877,35.187
1037,1298.155,95.511
1038,726.809,30.716
1039,1022.364,35.501
1040,961.78,77.304
1041,1534.602,51.367
1042,1543.903,7.982
1043,1402.416,69.589
1044,1937.607,78.144
1045,2045.839,20.182
1046,1035.77,22.698
1047,1863.152,9.223
1048,1728.309,74.847
1049,1546.651,13.498
1050,1309.469,18.38
1051,1333.554,58.362
1052,591.916,29.106
1053,1450.199,19.189
1054,978.675,13.105
1055,905.772,43.553
1056,960.249,15.15
1057,825.385,4.164
1058,672.873,14.605
1059,955.515,16.415
1060,804.461,14.236
1061,1177.721,42.089
1062,663.171,177.817
1063,1196.694,219.856
1064,461.062,23.245
1065,926.45,73.62
1066,1933.567,81.462
1067,1147.639,85.755
1068,2091.628,89.153
1069,1433.264,7.394
1070,892.742,56.705
1071,1321.539,29.053
1072,1844.282,1.094
1073,1605.513,29.777
1074,1677.792,29.4
1075,1447.386,34.507
1076,1174.722,55.489
1077,1505.086,10.759
1078,1299.772,7.53
1079,959.629,64.409
1080,1197.238,28.656
1081,514.043,13.413
1082,945.936,45.996
1083,814.259,47.897
1084,684.961,77.398
1085,707.938,14.979
1086,731.638,19.64
1087,922.299,81.708
1088,1047.627,8.975
1089,1146.729,98.509
1090,1070.543,65.582
1091,1176.059,210.837
1092,896.105,24.413
1093,1814.81,4.514
1094,1036.218,86.059
1095,2076.631,58.982
1096,1419.793,52.799
1097,1965.608,78.577
1098,1737.276,8.307
1099,1240.536,47.08
1100,928.084,24.562
1101,1050.327,8.739
1102,721.371,39.452
1103,833.842,18.912
1104,535.373,13.784
1105,925.902,60.73
1106,777.01,11.578
1107,875.695,8.893
1108,582.893,53.824
1109,913.956,18.643
1110,773.219,64.575
1111,839.533,17.343
1112,839.01,59.657
1113,953.791,15.508
1114,1356.518,14.984
1115,1621.189,28.83
1116,1235.149,18.57
1117,1917.586,73.548
1118,1084.297,39.454
1119,1735.247,14.254
1120,1286.59,47.758
1121,1242.689,5.119
1122,1282.509,9.947
1123,1603.962,9.35
1124,1052.686,20.623
1125,923.512,8.733
1126,1058.543,2.97
1127,752.175,48.15
1128,1296.102,8.849
1129,678.961,47.248
1130,875.97,75.871
1131,742.809,4.832
1132,905.295,75.905
1133,938.037,53.087
1134,932.182,21.425
1135,893.058,32.235
1136,943.79,126.711
1137,1476.31,4.307
1138,1236.776,23.175
1139,1540.354,32.162
1140,1295.702,36.702
1141,1798.791,20.106
1142,1666.29,38.313
1143,1793.355,8.004
1144,1428.444,72.746
1145,1874.287,18.13
1146,1227.692,122.663
1147,1034.026,5.95
1148,1452.013,60.827
1149,1368.141,46.381
1150,579.891,68.861
1151,913.408,69.019
1152,1051.806,13.614
1153,774.151,43.308
1154,869.595,29.244
1155,841.688,13.314
1156,904.672,100.309
1157,582.82,154.765
1158,694.912,4.998
1159,858.734,44.682
1160,1203.351,35.288
1161,1347.386,5.919
1162,715.565,25.598
1163,1046.294,113.869
1164,1260.613,35.432
1165,1783.6,130.568
1166,1367.746,29.652
1167,1076.811,142.43
1168,1467.652,52.903
1169,1436.859,6.109
1170,1389.981,35.359
1171,1566.452,36.447
1172,1499.875,23.631
1173,1029.069,14.592
1174,1282.794,54.632
1175,764.879,12.498
1176,698.341,67.498
1177,946.531,4.461
1178,1162.933,28.378
1179,759.844,8.725
1180,1070.813,25.422
1181,1313.859,207.795
1182,545.918,85.235
1183,859.221,38.764
1184,1069.104,13.661
1185,1217.957,15.035
1186,1046.323,37.121
1187,774.382,37.859
1188,2074.44,59.02
1189,1229.414,37.186
1190,1468.262,27.143
1191,1890.246,79.291
1192,1360.917,64.035
1193,1252.262,6.329
1194,817.422,61.458
1195,1471.133,86.096
1196,1284.528,110.873
1197,1119.459,6.58
1198,1118.921,20.633
1199,971.964,14.435
1200,1236.868,35.945
1201,395.953,20.247
1202,773.652,74.556
1203,425.891,46.137
1204,841.198,24.123
1205,1261.532,24.286
1206,956.321,357.584
1207,504.276,19.607
1208,654.064,110.871
1209,1076.828,139.068
1210,1208.951,28.735
1211,1407.333,36.109
1212,1425.954,10.873
1213,2022.647,17.342
1214,1315.988,67.065
1215,1741.416,55.912
1216,853.723,8.953
1217,1124.638,22.534
1218,1732.474,138.769
1219,1351.186,33.195
1220,1515.065,29.397
1221,1027.56,29.638
1222,973.528,35.139
1223,940.397,11.651
1224,787.757,39.368
1225,856.606,47.269
1226,1036.514,97.351
1227,775.642,8.421
1228,820.451,31.715
1229,1047.594,56.725
1230,628.551,58.715
1231,523.69,17.776
1232,675.152,42.154
1233,1605.743,18.02
1234,1170.714,46.322
1235,1593.897,4.253
1236,1042.588,147.541
1237,1130.427,51.517
1238,1476.358,60.897
1239,1890.423,147.641
1240,1229.553,88.315
1241,1172.365,12.518
1242,1358.701,20.603
1243,1389.126,14.025
1244,1301.545,19.848
1245,1230.194,24.829
1246,808.621,22.402
1247,1237.636,21.777
1248,973.384,13.47
1249,865.555,29.731
1250,1122.729,22.12
1251,781.404,41.867
1252,882.27,21.874
1253,1148.05,14.364
1254,415.312,70.364
1255,872.288,183.474
1256,778.491,115.393
1257,1381.021,38.259
1258,1178.048,41.196
1259,1350.707,172.978
1260,1267.217,56.868
1261,1578.243,17.461
1262,890.695,30.807
1263,1290.055,23.601
1264,1662.269,8.769
1265,1663.628,8.24
1266,2145.436,114.282
1267,1453.2,66.578
1268,1109.119,11.867
1269,1179.211,16.884
1270,1046.081,60.352
1271,1365.918,61.175
1272,800.424,17.078
1273,751.979,33.51
1274,895.626,67.012
1275,877.583,13.473
1276,832.821,95.999
1277,886.649,40.95
1278,835.722,46.174
1279,706.163,13.549
1280,995.25,54.156
1281,713.919,61.67
1282,896.996,134.579
1283,1248.341,9.838
1284,1142.564,46.928
1285,1609.772,77.689
1286,962.657,49.908
